deviceID	fromDate	toDate	consumption	userID
1275104184-Overall	7/1/2015 0:28	7/1/2015 0:29	45	35
77863289-Overall	7/1/2015 0:28	7/1/2015 0:29	86	36
1949724277-Overall	7/1/2015 0:28	7/1/2015 0:29	314	25
1870305884-Overall	7/1/2015 0:28	7/1/2015 0:29	189	28
782435385-Overall	7/1/2015 0:28	7/1/2015 0:29	2334	37
1144586020-Overall	7/1/2015 0:28	7/1/2015 0:29	654	38
1951210032-Overall	7/1/2015 0:28	7/1/2015 0:29	900	39
1951210032-Overall	7/1/2015 0:29	7/1/2015 0:30	974	39
331804188-Overall	7/1/2015 0:29	7/1/2015 0:30	331	32
167203295-Overall	7/1/2015 0:29	7/1/2015 0:30	820	29
908983910-Overall	7/1/2015 0:29	7/1/2015 0:30	99	22
1454442161-Overall	7/1/2015 0:29	7/1/2015 0:30	235	21
1741156914-Overall	7/1/2015 0:29	7/1/2015 0:30	350	24
687157380-Overall	7/1/2015 0:29	7/1/2015 0:30	315	23
1144586020-Overall	7/1/2015 0:29	7/1/2015 0:30	651	38
782435385-Overall	7/1/2015 0:29	7/1/2015 0:30	2310	37
77863289-Overall	7/1/2015 0:29	7/1/2015 0:30	88	36
1275104184-Overall	7/1/2015 0:29	7/1/2015 0:30	45	35
1870305884-Overall	7/1/2015 0:29	7/1/2015 0:30	189	28
1949724277-Overall	7/1/2015 0:29	7/1/2015 0:30	311	25
1949724277-Overall	7/1/2015 0:30	7/1/2015 0:31	320	25
1870305884-Overall	7/1/2015 0:30	7/1/2015 0:31	189	28
1454442161-Overall	7/1/2015 0:30	7/1/2015 0:31	241	21
908983910-Overall	7/1/2015 0:30	7/1/2015 0:31	198	22
1951210032-Overall	7/1/2015 0:30	7/1/2015 0:31	976	39
167203295-Overall	7/1/2015 0:30	7/1/2015 0:31	828	29
331804188-Overall	7/1/2015 0:30	7/1/2015 0:31	333	32
1275104184-Overall	7/1/2015 0:30	7/1/2015 0:31	45	35
77863289-Overall	7/1/2015 0:30	7/1/2015 0:31	93	36
687157380-Overall	7/1/2015 0:30	7/1/2015 0:31	371	23
